Date,Open,High,Low,Close,Adj Close,Volume
2022-07-18,388.3800048828125,389.0899963378906,380.6600036621094,381.95001220703125,370.62890625,63203600
2022-07-19,386.0799865722656,392.8699951171875,385.3900146484375,392.2699890136719,380.64300537109375,78506000
2022-07-20,392.4700012207031,396.260009765625,391.0299987792969,394.7699890136719,383.06890869140625,71843800
2022-07-21,394.1600036621094,398.8399963378906,391.6300048828125,398.7900085449219,386.9698181152344,64903900
2022-07-22,398.9200134277344,400.17999267578125,392.75,395.0899963378906,383.3794860839844,72197300
2022-07-25,395.75,396.4700012207031,393.2099914550781,395.57000732421875,383.84527587890625,53631500
2022-07-26,393.8399963378906,394.05999755859375,389.95001220703125,390.8900146484375,379.3039245605469,52946400
2022-07-27,394.3599853515625,402.8800048828125,394.04998779296875,401.0400085449219,389.15313720703125,82342100
2022-07-28,401.8900146484375,406.79998779296875,398.1499938964844,406.07000732421875,394.0339660644531,73966600
2022-07-29,407.5799865722656,413.0299987792969,406.7699890136719,411.989990234375,399.77850341796875,87003700
2022-08-01,409.1499938964844,413.4100036621094,408.3999938964844,410.7699890136719,398.59466552734375,69997500
2022-08-02,409.1199951171875,413.0,406.82000732421875,408.05999755859375,395.9649963378906,63435400
2022-08-03,410.29998779296875,415.67999267578125,410.0,414.45001220703125,402.16558837890625,67820600
2022-08-04,414.3699951171875,415.0899963378906,412.44000244140625,414.1700134277344,401.8939514160156,45656600
2022-08-05,409.6600036621094,414.1499938964844,409.6000061035156,413.4700012207031,401.21466064453125,56814900
2022-08-08,415.25,417.6199951171875,411.8299865722656,412.989990234375,400.7489013671875,53886100
2022-08-09,412.2200012207031,412.75,410.2200012207031,411.3500061035156,399.15753173828125,44931800
2022-08-10,418.7799987792969,420.1400146484375,416.7200012207031,419.989990234375,407.5413818359375,68665700
2022-08-11,422.989990234375,424.95001220703125,419.2099914550781,419.989990234375,407.5413818359375,59489700
2022-08-12,422.0299987792969,427.2099914550781,421.0299987792969,427.1000061035156,414.44061279296875,61694500
2022-08-15,424.7699890136719,429.4100036621094,424.7099914550781,428.8599853515625,416.14849853515625,54048300
2022-08-16,427.7300109863281,431.7300109863281,426.8800048828125,429.70001220703125,416.9636535644531,59289000
2022-08-17,425.9100036621094,429.5,424.5400085449219,426.6499938964844,414.0039978027344,63563400
2022-08-18,426.8599853515625,428.6099853515625,425.5,427.8900146484375,415.2072448730469,49023200
2022-08-19,424.9800109863281,425.260009765625,421.2200012207031,422.1400146484375,409.627685546875,68016900
2022-08-22,417.04998779296875,417.2300109863281,412.3999938964844,413.3500061035156,401.0982666015625,77695600
2022-08-23,412.8999938964844,415.4200134277344,411.7699890136719,412.3500061035156,400.1278076171875,49105200
2022-08-24,412.1099853515625,415.1099853515625,411.3900146484375,413.6700134277344,401.4087219238281,49177800
2022-08-25,415.239990234375,419.55999755859375,414.0899963378906,419.510009765625,407.0756530761719,50942300
2022-08-26,419.3900146484375,419.9599914550781,405.25,405.30999755859375,393.2965087890625,103087000
2022-08-29,402.20001220703125,405.8399963378906,401.20001220703125,402.6300048828125,390.69598388671875,65370800
2022-08-30,403.8500061035156,404.1000061035156,396.0,398.2099914550781,386.406982421875,85652400
2022-08-31,399.92999267578125,401.239990234375,395.0400085449219,395.17999267578125,383.466796875,76029700
2022-09-01,392.8900146484375,396.7799987792969,390.0400085449219,396.4200134277344,384.6700439453125,78740100
2022-09-02,400.2799987792969,401.55999755859375,390.3299865722656,392.239990234375,380.6138916015625,99632100
2022-09-06,393.1300048828125,394.1199951171875,388.4200134277344,390.760009765625,379.1777648925781,76637400
2022-09-07,390.42999267578125,398.5899963378906,390.20001220703125,397.7799987792969,385.98974609375,70964200
2022-09-08,395.3900146484375,400.8599853515625,394.1199951171875,400.3800048828125,388.5126647949219,80821700
2022-09-09,402.739990234375,407.510009765625,402.4599914550781,406.6000061035156,394.54827880859375,76706900
2022-09-12,408.7799987792969,411.7300109863281,408.4599914550781,410.9700012207031,398.788818359375,69256300
2022-09-13,401.8299865722656,403.1000061035156,391.9200134277344,393.1000061035156,381.4484558105469,122947100
2022-09-14,394.4700012207031,396.20001220703125,391.1199951171875,394.6000061035156,382.90399169921875,85023700
2022-09-15,392.9599914550781,395.9599914550781,388.7799987792969,390.1199951171875,378.5567626953125,87633800
2022-09-16,384.1400146484375,386.25,382.1099853515625,385.55999755859375,375.66876220703125,103084800
2022-09-19,382.260009765625,388.54998779296875,382.17999267578125,388.54998779296875,378.5821228027344,73278500
2022-09-20,385.05999755859375,386.1199951171875,381.20001220703125,384.0899963378906,374.2364807128906,77274900
2022-09-21,386.1099853515625,389.30999755859375,377.3800048828125,377.3900146484375,367.70843505859375,106746600
2022-09-22,376.5799865722656,378.29998779296875,373.44000244140625,374.2200012207031,364.61968994140625,89472600
2022-09-23,370.5799865722656,370.6199951171875,363.2900085449219,367.95001220703125,358.51055908203125,122346900
2022-09-26,366.4100036621094,370.2099914550781,363.0299987792969,364.30999755859375,354.96392822265625,92581200
2022-09-27,368.0199890136719,370.3999938964844,360.8699951171875,363.3800048828125,354.0578308105469,108294100
2022-09-28,364.3800048828125,372.29998779296875,362.6000061035156,370.5299987792969,361.02435302734375,110802200
2022-09-29,366.80999755859375,367.1099853515625,359.70001220703125,362.7900085449219,353.48297119140625,112952300
2022-09-30,361.79998779296875,365.9100036621094,357.0400085449219,357.17999267578125,348.016845703125,153711200
2022-10-03,361.0799865722656,368.54998779296875,359.2099914550781,366.6099853515625,357.20489501953125,89756500
2022-10-04,372.3999938964844,378.0,366.57000732421875,377.9700012207031,368.2734680175781,103602800
2022-10-05,373.3900146484375,379.4599914550781,370.95001220703125,377.0899963378906,367.41607666015625,88065700
2022-10-06,375.6199951171875,378.7200012207031,372.67999267578125,373.20001220703125,363.6258850097656,82333500
2022-10-07,368.9700012207031,373.2900085449219,360.94000244140625,362.7900085449219,353.48297119140625,107789500
2022-10-10,363.9599914550781,364.2099914550781,357.6700134277344,360.0199890136719,350.78399658203125,76042800
2022-10-11,358.239990234375,363.0299987792969,355.7099914550781,357.739990234375,348.5625,92482800
2022-10-12,358.1700134277344,359.82000732421875,356.29998779296875,356.55999755859375,347.4127197265625,76991800
2022-10-13,349.2099914550781,367.510009765625,348.1099853515625,365.9700012207031,356.5813903808594,147254500
2022-10-14,368.54998779296875,370.260009765625,356.9599914550781,357.6300048828125,348.4552917480469,123737000
2022-10-17,364.010009765625,367.9800109863281,357.2799987792969,366.82000732421875,357.4095458984375,93168200
2022-10-18,375.1300048828125,375.45001220703125,367.5199890136719,371.1300048828125,361.6089782714844,97162900
2022-10-19,368.989990234375,371.8500061035156,365.54998779296875,368.5,359.04644775390625,79746900
2022-10-20,368.0299987792969,372.6700134277344,364.6099853515625,365.4100036621094,356.0357360839844,88283100
2022-10-21,365.1199951171875,374.79998779296875,363.5400085449219,374.2900085449219,364.68792724609375,131038400
2022-10-24,375.8900146484375,380.05999755859375,373.1099853515625,378.8699951171875,369.150390625,85436900
2022-10-25,378.7900085449219,385.25,378.6700134277344,384.9200134277344,375.0451965332031,78846300
2022-10-26,381.6199951171875,387.5799865722656,381.3500061035156,382.0199890136719,372.2195739746094,104087300
2022-10-27,383.07000732421875,385.0,379.3299865722656,379.9800109863281,370.23193359375,81971800
